pic_id,seg_id,object,segment,adj,des
550709,0,鞋柜,入户左侧放置一款成品鞋柜,[],入户左侧放置一款成品鞋柜，藤编网面天然的材质透着淡淡的竹香，会随着时间越来越迷人，也巧妙地解决了收纳的问题，十分实用。
550709,1,材质,藤编网面天然的材质透着淡淡的竹香,[],入户左侧放置一款成品鞋柜，藤编网面天然的材质透着淡淡的竹香，会随着时间越来越迷人，也巧妙地解决了收纳的问题，十分实用。
550710,0,空间,整个空间的地面通铺木地板,[],整个空间的地面通铺木地板，与大白墙形成色块化的设计，简单里透着朴素；白色的纱幔带来一种轻盈感，缓和了整个空间因实木材质带来的些许沉稳，但是材质讲究的家具和造型时尚的沙发组合，裹挟着生活的精致。
550710,0,地面,整个空间的地面通铺木地板,[],整个空间的地面通铺木地板，与大白墙形成色块化的设计，简单里透着朴素；白色的纱幔带来一种轻盈感，缓和了整个空间因实木材质带来的些许沉稳，但是材质讲究的家具和造型时尚的沙发组合，裹挟着生活的精致。
550710,0,木地板,整个空间的地面通铺木地板,[],整个空间的地面通铺木地板，与大白墙形成色块化的设计，简单里透着朴素；白色的纱幔带来一种轻盈感，缓和了整个空间因实木材质带来的些许沉稳，但是材质讲究的家具和造型时尚的沙发组合，裹挟着生活的精致。
550710,1,墙,与大白墙形成色块化的设计,[],整个空间的地面通铺木地板，与大白墙形成色块化的设计，简单里透着朴素；白色的纱幔带来一种轻盈感，缓和了整个空间因实木材质带来的些许沉稳，但是材质讲究的家具和造型时尚的沙发组合，裹挟着生活的精致。
550710,3,纱幔,白色的纱幔带来一种轻盈感,['白色'],整个空间的地面通铺木地板，与大白墙形成色块化的设计，简单里透着朴素；白色的纱幔带来一种轻盈感，缓和了整个空间因实木材质带来的些许沉稳，但是材质讲究的家具和造型时尚的沙发组合，裹挟着生活的精致。
550710,4,空间,缓和了整个空间因实木材质带来的些许沉稳,"['缓和', '沉稳']",整个空间的地面通铺木地板，与大白墙形成色块化的设计，简单里透着朴素；白色的纱幔带来一种轻盈感，缓和了整个空间因实木材质带来的些许沉稳，但是材质讲究的家具和造型时尚的沙发组合，裹挟着生活的精致。
550710,4,木材,缓和了整个空间因实木材质带来的些许沉稳,"['缓和', '沉稳']",整个空间的地面通铺木地板，与大白墙形成色块化的设计，简单里透着朴素；白色的纱幔带来一种轻盈感，缓和了整个空间因实木材质带来的些许沉稳，但是材质讲究的家具和造型时尚的沙发组合，裹挟着生活的精致。
550710,5,材质,但是材质讲究的家具和造型时尚的沙发组合,[],整个空间的地面通铺木地板，与大白墙形成色块化的设计，简单里透着朴素；白色的纱幔带来一种轻盈感，缓和了整个空间因实木材质带来的些许沉稳，但是材质讲究的家具和造型时尚的沙发组合，裹挟着生活的精致。
550710,5,家具,但是材质讲究的家具和造型时尚的沙发组合,[],整个空间的地面通铺木地板，与大白墙形成色块化的设计，简单里透着朴素；白色的纱幔带来一种轻盈感，缓和了整个空间因实木材质带来的些许沉稳，但是材质讲究的家具和造型时尚的沙发组合，裹挟着生活的精致。
550711,0,客厅,客厅打掉了原有的墙体,[],客厅打掉了原有的墙体，增加了客餐厅采光，格子玻璃窗分隔了屋外的风景，也将自然景观纳入室内，与白色窗帘搭配出简约之美；灰绿色布艺沙发搭配灰色趟式沙发陈列出互动感，与格子状的实木柜构筑简约温馨。
550711,0,墙体,客厅打掉了原有的墙体,[],客厅打掉了原有的墙体，增加了客餐厅采光，格子玻璃窗分隔了屋外的风景，也将自然景观纳入室内，与白色窗帘搭配出简约之美；灰绿色布艺沙发搭配灰色趟式沙发陈列出互动感，与格子状的实木柜构筑简约温馨。
550711,1,餐厅,增加了客餐厅采光,[],客厅打掉了原有的墙体，增加了客餐厅采光，格子玻璃窗分隔了屋外的风景，也将自然景观纳入室内，与白色窗帘搭配出简约之美；灰绿色布艺沙发搭配灰色趟式沙发陈列出互动感，与格子状的实木柜构筑简约温馨。
550711,2,格子,格子玻璃窗分隔了屋外的风景,[],客厅打掉了原有的墙体，增加了客餐厅采光，格子玻璃窗分隔了屋外的风景，也将自然景观纳入室内，与白色窗帘搭配出简约之美；灰绿色布艺沙发搭配灰色趟式沙发陈列出互动感，与格子状的实木柜构筑简约温馨。
550711,2,玻璃窗,格子玻璃窗分隔了屋外的风景,[],客厅打掉了原有的墙体，增加了客餐厅采光，格子玻璃窗分隔了屋外的风景，也将自然景观纳入室内，与白色窗帘搭配出简约之美；灰绿色布艺沙发搭配灰色趟式沙发陈列出互动感，与格子状的实木柜构筑简约温馨。
550711,2,风景,格子玻璃窗分隔了屋外的风景,[],客厅打掉了原有的墙体，增加了客餐厅采光，格子玻璃窗分隔了屋外的风景，也将自然景观纳入室内，与白色窗帘搭配出简约之美；灰绿色布艺沙发搭配灰色趟式沙发陈列出互动感，与格子状的实木柜构筑简约温馨。
550711,4,窗帘,与白色窗帘搭配出简约之美,['白色'],客厅打掉了原有的墙体，增加了客餐厅采光，格子玻璃窗分隔了屋外的风景，也将自然景观纳入室内，与白色窗帘搭配出简约之美；灰绿色布艺沙发搭配灰色趟式沙发陈列出互动感，与格子状的实木柜构筑简约温馨。
550711,6,木柜,与格子状的实木柜构筑简约温馨,[],客厅打掉了原有的墙体，增加了客餐厅采光，格子玻璃窗分隔了屋外的风景，也将自然景观纳入室内，与白色窗帘搭配出简约之美；灰绿色布艺沙发搭配灰色趟式沙发陈列出互动感，与格子状的实木柜构筑简约温馨。
550712,0,餐厅,整个客餐厅开放式的设计,[],"整个客餐厅开放式的设计，弱化了电视为中心的布局，以舒适惬意为主调，营造自在的生活氛围；整个空间以胡桃木地板铺贴出朴质，并陈列这简约的木色家具，让空间自然而温润。
"
550712,1,电视,弱化了电视为中心的布局,[],"整个客餐厅开放式的设计，弱化了电视为中心的布局，以舒适惬意为主调，营造自在的生活氛围；整个空间以胡桃木地板铺贴出朴质，并陈列这简约的木色家具，让空间自然而温润。
"
550712,1,布局,弱化了电视为中心的布局,[],"整个客餐厅开放式的设计，弱化了电视为中心的布局，以舒适惬意为主调，营造自在的生活氛围；整个空间以胡桃木地板铺贴出朴质，并陈列这简约的木色家具，让空间自然而温润。
"
550712,4,空间,整个空间以胡桃木地板铺贴出朴质,[],"整个客餐厅开放式的设计，弱化了电视为中心的布局，以舒适惬意为主调，营造自在的生活氛围；整个空间以胡桃木地板铺贴出朴质，并陈列这简约的木色家具，让空间自然而温润。
"
550712,4,地板,整个空间以胡桃木地板铺贴出朴质,[],"整个客餐厅开放式的设计，弱化了电视为中心的布局，以舒适惬意为主调，营造自在的生活氛围；整个空间以胡桃木地板铺贴出朴质，并陈列这简约的木色家具，让空间自然而温润。
"
550712,5,家具,并陈列这简约的木色家具,['木色'],"整个客餐厅开放式的设计，弱化了电视为中心的布局，以舒适惬意为主调，营造自在的生活氛围；整个空间以胡桃木地板铺贴出朴质，并陈列这简约的木色家具，让空间自然而温润。
"
550712,6,空间,让空间自然而温润,[],"整个客餐厅开放式的设计，弱化了电视为中心的布局，以舒适惬意为主调，营造自在的生活氛围；整个空间以胡桃木地板铺贴出朴质，并陈列这简约的木色家具，让空间自然而温润。
"
550713,0,餐厅,开放式的餐厅给人无拘无束的感觉,[],开放式的餐厅给人无拘无束的感觉，原木地板的厚实与白色纱幔的轻飘营造朴素和浪漫的氛围；实木餐桌搭配实木椅凳和谐共生，桌上的花卉与水果将鲜活释放在空间内，而一张编织餐椅灵动轻巧，线条优美，点缀出柔和舒适。
550713,1,木地板,原木地板的厚实与白色纱幔的轻飘营造朴素和浪漫的氛围,"['厚实', '白色', '浪漫']",开放式的餐厅给人无拘无束的感觉，原木地板的厚实与白色纱幔的轻飘营造朴素和浪漫的氛围；实木餐桌搭配实木椅凳和谐共生，桌上的花卉与水果将鲜活释放在空间内，而一张编织餐椅灵动轻巧，线条优美，点缀出柔和舒适。
550713,1,纱幔,原木地板的厚实与白色纱幔的轻飘营造朴素和浪漫的氛围,"['厚实', '白色', '浪漫']",开放式的餐厅给人无拘无束的感觉，原木地板的厚实与白色纱幔的轻飘营造朴素和浪漫的氛围；实木餐桌搭配实木椅凳和谐共生，桌上的花卉与水果将鲜活释放在空间内，而一张编织餐椅灵动轻巧，线条优美，点缀出柔和舒适。
550713,2,餐桌,实木餐桌搭配实木椅凳和谐共生,['和谐'],开放式的餐厅给人无拘无束的感觉，原木地板的厚实与白色纱幔的轻飘营造朴素和浪漫的氛围；实木餐桌搭配实木椅凳和谐共生，桌上的花卉与水果将鲜活释放在空间内，而一张编织餐椅灵动轻巧，线条优美，点缀出柔和舒适。
550713,3,花卉,桌上的花卉与水果将鲜活释放在空间内,['鲜活'],开放式的餐厅给人无拘无束的感觉，原木地板的厚实与白色纱幔的轻飘营造朴素和浪漫的氛围；实木餐桌搭配实木椅凳和谐共生，桌上的花卉与水果将鲜活释放在空间内，而一张编织餐椅灵动轻巧，线条优美，点缀出柔和舒适。
550713,3,空间,桌上的花卉与水果将鲜活释放在空间内,['鲜活'],开放式的餐厅给人无拘无束的感觉，原木地板的厚实与白色纱幔的轻飘营造朴素和浪漫的氛围；实木餐桌搭配实木椅凳和谐共生，桌上的花卉与水果将鲜活释放在空间内，而一张编织餐椅灵动轻巧，线条优美，点缀出柔和舒适。
550713,4,餐椅,而一张编织餐椅灵动轻巧,"['灵动', '轻巧']",开放式的餐厅给人无拘无束的感觉，原木地板的厚实与白色纱幔的轻飘营造朴素和浪漫的氛围；实木餐桌搭配实木椅凳和谐共生，桌上的花卉与水果将鲜活释放在空间内，而一张编织餐椅灵动轻巧，线条优美，点缀出柔和舒适。
550714,0,儿童,整个儿童房里并没有色彩斑斓的设计,[],整个儿童房里并没有色彩斑斓的设计，反而多了很多老旧的味道，从实木家地板到实木家具，处处裹挟着成熟的味道，可以说，足够让人情绪稳定；小巧的木桌和凳子量身定做，小孩子在这里作业和玩耍都不是问题，低饱和基调搭配，传递一种自然的生活气息。
550714,2,地板,从实木家地板到实木家具,[],整个儿童房里并没有色彩斑斓的设计，反而多了很多老旧的味道，从实木家地板到实木家具，处处裹挟着成熟的味道，可以说，足够让人情绪稳定；小巧的木桌和凳子量身定做，小孩子在这里作业和玩耍都不是问题，低饱和基调搭配，传递一种自然的生活气息。
